id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,smean,dmean,sinpkt,dinpkt,sjit,djit,udp_packet_rate,sttl,dttl,sloss,dloss,swin,dwin,stcpb,dtcpb,tcprtt,synack,ackdat,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_src_ltm,ct_srv_dst,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label,tcp_syn_count,tcp_fin_count,tcp_rst_count,threat_category,flow_id,timestamp,protocol,duration,src_bytes,dst_bytes,src_packets,dst_packets,anomaly_score,suspicion_reason
1.0,6.905,tcp,http,CON,177.0,19.0,11752.0,3443.0,28.7,1701.96,498.62,66.4,181.21,0.039,0.3634,0.21,0.379,0.0,255.0,64.0,22.0,1.0,2048.0,512.0,0.0,0.0,0.487,0.074,0.033,0.0,191.0,13.0,49.0,25.0,8.0,3.0,2.0,41.0,2.0,0.0,0.0,1.0,0.0,Worms,Attack,53.0,35.0,17.0,Malicious,,,,,,,,,,
3.0,0.065,tcp,-,RST,2.0,1.0,493.0,255.0,1746.2,7584.62,3923.08,246.5,255.0,0.0325,0.065,0.993,0.752,0.0,255.0,64.0,0.0,0.0,4096.0,4096.0,0.0,0.0,0.054,0.065,0.015,0.0,0.0,3.0,3.0,17.0,3.0,1.0,18.0,47.0,78.0,0.0,0.0,0.0,1.0,Reconnaissance,Attack,1.0,1.0,1.0,Malicious,,,,,,,,,,
7.0,16.026,tcp,ssh,CON,127.0,63.0,7640.0,5641.0,34.8,476.73,351.99,60.16,89.54,0.1262,0.2544,0.52,0.427,0.0,255.0,64.0,4.0,1.0,4096.0,512.0,0.0,0.0,0.44,0.089,0.049,2.0,0.0,20.0,29.0,42.0,1.0,5.0,15.0,45.0,39.0,0.0,0.0,0.0,1.0,Backdoor,Attack,12.0,12.0,0.0,Malicious,,,,,,,,,,
8.0,45.548,tcp,-,CON,1223.0,556.0,61976.0,45232.0,156.1,1360.67,993.06,50.68,81.35,0.0372,0.0819,0.087,0.506,0.0,255.0,64.0,201.0,45.0,4096.0,512.0,0.0,0.0,0.467,0.071,0.061,0.0,0.0,19.0,37.0,31.0,7.0,3.0,11.0,12.0,7.0,0.0,0.0,0.0,1.0,DoS,Attack,978.0,122.0,122.0,Malicious,,,,,,,,,,
10.0,26.375,tcp,-,CON,1036.0,749.0,134779.0,90836.0,103.3,5110.1,3444.02,130.1,121.28,0.0255,0.0352,0.48,0.584,0.0,255.0,128.0,152.0,55.0,4096.0,4096.0,0.0,0.0,0.371,0.116,0.061,0.0,0.0,3.0,38.0,15.0,6.0,5.0,8.0,20.0,85.0,0.0,0.0,0.0,1.0,DoS,Attack,828.0,103.0,103.0,Malicious,,,,,,,,,,
11.0,0.096,tcp,-,SYN,7.0,2.0,258.0,159.0,1601.6,2687.5,1656.25,36.86,79.5,0.0137,0.048,0.582,0.681,0.0,128.0,255.0,0.0,0.0,4096.0,8192.0,0.0,0.0,0.103,0.128,0.036,2.0,0.0,20.0,88.0,40.0,1.0,1.0,4.0,26.0,48.0,0.0,0.0,0.0,1.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
12.0,3.912,udp,https,RST,60.0,31.0,1853.0,1417.0,72.0,473.67,362.22,30.88,45.71,0.0652,0.1262,0.636,0.761,72.0,128.0,128.0,5.0,1.0,1024.0,512.0,0.0,0.0,0.088,0.098,0.006,2.0,332.0,15.0,83.0,17.0,2.0,0.0,11.0,19.0,73.0,0.0,0.0,1.0,0.0,Exploits,Attack,12.0,12.0,6.0,Malicious,,,,,,,,,,
13.0,0.082,tcp,-,RST,7.0,3.0,247.0,184.0,1652.9,3012.2,2243.9,35.29,61.33,0.0117,0.0273,0.452,0.644,0.0,255.0,255.0,0.0,0.0,1024.0,1024.0,0.0,0.0,0.268,0.149,0.013,0.0,0.0,5.0,33.0,13.0,2.0,4.0,5.0,49.0,98.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,1.0,1.0,Malicious,,,,,,,,,,
15.0,24.702,tcp,-,CON,1894.0,790.0,53865.0,39561.0,122.2,2180.59,1601.53,28.44,50.08,0.013,0.0313,0.765,0.103,0.0,128.0,64.0,235.0,49.0,8192.0,8192.0,0.0,0.0,0.174,0.024,0.077,1.0,0.0,3.0,36.0,50.0,6.0,2.0,17.0,18.0,1.0,0.0,0.0,0.0,1.0,DoS,Attack,1515.0,189.0,189.0,Malicious,,,,,,,,,,
16.0,0.027,tcp,-,SYN,7.0,4.0,291.0,238.0,1303.1,10777.78,8814.81,41.57,59.5,0.0039,0.0067,0.229,0.233,0.0,64.0,255.0,0.0,0.0,2048.0,512.0,0.0,0.0,0.118,0.043,0.067,0.0,0.0,10.0,64.0,39.0,10.0,5.0,16.0,19.0,69.0,0.0,0.0,0.0,0.0,Reconnaissance,Attack,1.0,0.0,0.0,Malicious,,,,,,,,,,
