flow_id,timestamp,protocol,service,duration,src_bytes,dst_bytes,src_packets,dst_packets,anomaly_score,label,suspicion_reason,threat_category
1,2025-08-08T10:14:53.341930,tcp,-,208.09601187705996,3807270,153862,2655,2489,16.058520957441992,Normal,Statistical Anomaly,Suspicious
2,2025-08-08T10:14:53.341930,other,-,206.9068148136139,4680,4680,104,104,3.11689585069431,Normal,Statistical Anomaly,Suspicious
5,2025-08-08T10:14:53.342854,tcp,https,202.0530400276184,4612,6229,22,43,3.0305958055100124,Normal,Statistical Anomaly,Suspicious
28,2025-08-08T10:14:53.342854,udp,dns,0.0049118995666503,73,137,1,1,3.000537277408335,Normal,Statistical Anomaly,Suspicious
84,2025-08-08T10:14:53.342854,udp,dns,0.0048699378967285,76,317,1,1,3.0304219614728725,Normal,Statistical Anomaly,Suspicious
93,2025-08-08T10:14:53.342854,tcp,-,36.09935998916626,16022,40234,49,56,3.3459457702519253,Normal,Statistical Anomaly,Suspicious
99,2025-08-08T10:14:53.342854,udp,dns,0.0043859481811523,84,132,1,1,3.416449262994727,Normal,Statistical Anomaly,Suspicious
108,2025-08-08T10:14:53.342854,tcp,-,60.37738490104675,6646,69398,54,58,5.989865385046588,Normal,Statistical Anomaly,Suspicious
129,2025-08-08T10:14:53.342854,udp,dns,0.0,78,0,1,0,8.050238988016238,Normal,Statistical Anomaly,Suspicious
135,2025-08-08T10:14:53.342854,udp,dns,0.0041520595550537,80,149,1,1,3.6352510371667743,Normal,Statistical Anomaly,Suspicious
140,2025-08-08T10:14:53.342854,udp,dns,0.0041010379791259,73,153,1,1,3.686297459607139,Normal,Statistical Anomaly,Suspicious
167,2025-08-08T10:14:53.342854,udp,dns,0.0043411254882812,80,149,1,1,3.456554484113535,Normal,Statistical Anomaly,Suspicious
173,2025-08-08T10:14:53.342854,udp,dns,0.0040490627288818,81,258,1,1,3.7396207695586985,Normal,Statistical Anomaly,Suspicious
176,2025-08-08T10:14:53.342854,udp,dns,0.0041069984436035,84,100,1,1,3.680268663706904,Normal,Statistical Anomaly,Suspicious
217,2025-08-08T10:14:53.342854,udp,dns,0.0035851001739501,84,132,1,1,4.284118329770052,Normal,Statistical Anomaly,Suspicious
234,2025-08-08T10:14:53.342854,udp,dns,0.004019021987915,84,112,1,1,3.7710696044325323,Normal,Statistical Anomaly,Suspicious
244,2025-08-08T10:14:53.342854,udp,dns,0.0047008991241455,73,153,1,1,3.156213312821209,Normal,Statistical Anomaly,Suspicious
